# dataset name                analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
defaultset                    atlas_exot_2016_27            EM1                                                         4.1432232      4.2380149       ||    0.0303000      0.0016354      
defaultset                    atlas_exot_2016_27            EM2                                                         0.3752130      0.5686685       ||    0.0426000      0.0019268      
defaultset                    atlas_exot_2016_27            EM3                                                         -1.0000000     1.6235574       ||    0.0523000      0.0021241      
defaultset                    atlas_exot_2016_27            EM4                                                         0.3026537      0.3380309       ||    0.1131000      0.0030218      
defaultset                    atlas_exot_2016_27            EM5                                                         0.1318371      0.1857341       ||    0.0872000      0.0026918      
defaultset                    atlas_exot_2016_27            EM6                                                         0.1048016      0.1758481       ||    0.0487000      0.0020536      
defaultset                    atlas_exot_2016_27            EM7                                                         0.1046844      0.1474972       ||    0.0245000      0.0014750      
defaultset                    atlas_exot_2016_27            EM8                                                         0.1048683      0.1822154       ||    0.0151000      0.0011635      
defaultset                    atlas_exot_2016_27            EM9                                                         0.1003231      0.1223320       ||    0.0097000      0.0009351      
defaultset                    atlas_exot_2016_27            IM1                                                         0.7253306      1.2280327       ||    0.4344999      0.0047294      
defaultset                    atlas_exot_2016_27            IM2                                                         0.4596364      0.8172759       ||    0.4041999      0.0046821      
defaultset                    atlas_exot_2016_27            IM3                                                         0.2862670      0.5344756       ||    0.3616001      0.0045841      
defaultset                    atlas_exot_2016_27            IM4                                                         0.1780583      0.2970767       ||    0.3093000      0.0044099      
defaultset                    atlas_exot_2016_27            IM5                                                         0.0989933      0.2181819       ||    0.1962000      0.0037889      
defaultset                    atlas_exot_2016_27            IM6                                                         0.0865802      0.1789029       ||    0.1090000      0.0029733      
defaultset                    atlas_exot_2016_27            IM7                                                         0.0908112      0.1278781       ||    0.0603000      0.0022712      
defaultset                    atlas_exot_2016_27            IM8                                                         0.0956690      0.1401045       ||    0.0358000      0.0017726      
defaultset                    atlas_exot_2016_27            IM9                                                         0.1066281      0.1101980       ||    0.0207000      0.0013584      
defaultset                    atlas_exot_2016_27            IM10                                                        0.1391527      0.1518148       ||    0.0110000      0.0009951      

